区域号	区域类型	X坐标	Y坐标	Z坐标	线段类型	圆心X	圆心Y	圆心Z	节点	节点X坐标	节点Y坐标	节点Z坐标	楼层
A401	1	122660	110342	12800	1	0	0	0	A401D1	122842	109876	12800	4
0	0	121859	112391	12800	1	0	0	0	0	0	0	0	0
0	0	126610	114247	12800	1	0	0	0	0	0	0	0	0
0	0	127920	110893	12800	1	0	0	0	0	0	0	0	0
0	0	123169	109038	12800	1	0	0	0	0	0	0	0	0
0	0	123024	109411	12800	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A402	1	120340	110509	12800	1	0	0	0	A402D1	120158	110975	12800	4
0	0	121213	108274	12800	1	0	0	0	0	0	0	0	0
0	0	116463	106418	12800	1	0	0	0	0	0	0	0	0
0	0	115153	109772	12800	1	0	0	0	0	0	0	0	0
0	0	119903	111627	12800	1	0	0	0	0	0	0	0	0
0	0	119976	111441	12800	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A403	1	123315	108665	12800	1	0	0	0	A403D1	123463	108200	12800	4
0	0	123169	109038	12800	1	0	0	0	0	0	0	0	0
0	0	127920	110893	12800	1	0	0	0	0	0	0	0	0
0	0	129229	107540	12800	1	0	0	0	0	0	0	0	0
0	0	124479	105685	12800	1	0	0	0	0	0	0	0	0
0	0	123678	107734	12800	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A404	1	122377	105293	12800	1	0	0	0	A404D1	122195	105759	12800	4
0	0	122523	104921	12800	1	0	0	0	0	0	0	0	0
0	0	117772	103065	12800	1	0	0	0	0	0	0	0	0
0	0	116463	106418	12800	1	0	0	0	0	0	0	0	0
0	0	121213	108274	12800	1	0	0	0	0	0	0	0	0
0	0	122013	106225	12800	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A405	1	125279	103635	12800	1	0	0	0	A405D1	125461	103170	12800	4
0	0	124479	105685	12800	1	0	0	0	0	0	0	0	0
0	0	129229	107540	12800	1	0	0	0	0	0	0	0	0
0	0	130539	104187	12800	1	0	0	0	0	0	0	0	0
0	0	125789	102331	12800	1	0	0	0	0	0	0	0	0
0	0	125643	102704	12800	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A406	1	123032	103617	12800	1	0	0	0	A406D1	122850	104082	12800	4
0	0	123833	101567	12800	1	0	0	0	0	0	0	0	0
0	0	119082	99712	12800	1	0	0	0	0	0	0	0	0
