区域号	区域类型	X坐标	Y坐标	Z坐标	线段类型	圆心X	圆心Y	圆心Z	节点	节点X坐标	节点Y坐标	Z坐标	
A601	1	11282.5	11410.7	495	1	0	0	0	A601D1	11303.7	11365.4	495	5
0	0	11139.6	11717.1	495	1	0	0	0	0	0	0	0	0
0	0	11411.5	11843.9	495	1	0	0	0	0	0	0	0	0
0	0	11626.1	11383.7	495	1	0	0	0	0	0	0	0	0
0	0	11354.2	11256.9	495	1	0	0	0	0	0	0	0	0
0	0	11324.7	11320	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A603	1	11440.2	11072.6	495	1	0	0	0	A603D1	11461.3	11027.3	495	5
0	0	11354.2	11256.9	495	1	0	0	0	0	0	0	0	0
0	0	11626.1	11383.7	495	1	0	0	0	0	0	0	0	0
0	0	11770.9	11073.2	495	1	0	0	0	0	0	0	0	0
0	0	11499	10946.4	495	1	0	0	0	0	0	0	0	0
0	0	11482.4	10982	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A605	1	11516.2	10909.5	495	1	0	0	0	A605D1	11537.4	10864.2	495	5
0	0	11499	10946.4	495	1	0	0	0	0	0	0	0	0
0	0	11770.9	11073.2	495	1	0	0	0	0	0	0	0	0
0	0	11926.8	10738.8	495	1	0	0	0	0	0	0	0	0
0	0	11654.9	10612	495	1	0	0	0	0	0	0	0	0
0	0	11558.5	10818.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A607	1	11747	10414.6	495	1	0	0	0	A607D1	11768.1	10369.3	495	5
0	0	11654.9	10612	495	1	0	0	0	0	0	0	0	0
0	0	11926.8	10738.8	495	1	0	0	0	0	0	0	0	0
0	0	12078	10414.5	495	1	0	0	0	0	0	0	0	0
0	0	11806.1	10287.8	495	1	0	0	0	0	0	0	0	0
0	0	11789.2	10334	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
