区域号	区域类型	X坐标	Y坐标	Z坐标	线段类型	圆心X	圆心Y	圆心Z	节点	节点X坐标	节点Y坐标	节点Z坐标	楼层
A526	1	13583.9	6044.4	150	1	0	0	0	A526D1	13561.1	6098.8	150	4
0	0	13772.9	5648.2	150	1	0	0	0	0	0	0	0	0
0	0	13501	5521.4	150	1	0	0	0	0	0	0	0	0
0	0	13250.1	6060.2	150	1	0	0	0	0	0	0	0	0
0	0	13521.6	6187	150	1	0	0	0	0	0	0	0	0
0	0	13542	6144.1		3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A524	1	13454.5	6331.7	150	1	0	0	0	A524D1	13433.3	6377	150	4
0	0	13484.7	6266.2	150	1	0	0	0	0	0	0	0	0
0	0	13213.1	6139.4	150	1	0	0	0	0	0	0	0	0
0	0	13041.8	6506.8	150	1	0	0	0	0	0	0	0	0
0	0	13313.3	6633.9	150	1	0	0	0	0	0	0	0	0
0	0	13412.2	6422.4	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A522	1	13225	6823.8	150	1	0	0	0	A522D1	13203.9	6869.2	150	4
0	0	13313.3	6633.9	150	1	0	0	0	0	0	0	0	0
0	0	13041.8	6506.8	150	1	0	0	0	0	0	0	0	0
0	0	12893.9	6824	150	1	0	0	0	0	0	0	0	0
0	0	13165.8	6950.8	150	1	0	0	0	0	0	0	0	0
0	0	13182.7	6914.5	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A521	1	13147.2	6990.6	150	1	0	0	0	A521D1	13126.1	7035.9	150	4
0	0	13165.8	6950.8	150	1	0	0	0	0	0	0	0	0
0	0	12893.9	6824	150	1	0	0	0	0	0	0	0	0
0	0	12744.5	7144.4	150	1	0	0	0	0	0	0	0	0
0	0	13016.4	7271.2	150	1	0	0	0	0	0	0	0	0
0	0	13105	7081.2	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A520	1	12924.5	7468.2	150	1	0	0	0	A520D1	12903.4	7513.5	150	4
0	0	13016.4	7271.2	150	1	0	0	0	0	0	0	0	0
0	0	12744.5	7144.4	150	1	0	0	0	0	0	0	0	0
0	0	12582	7492.8	150	1	0	0	0	0	0	0	0	0
0	0	12853.9	7619.6	150	1	0	0	0	0	0	0	0	0
0	0	12882.2	7558.9	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A519	1	12617.3	8127.1	150	1	0	0	0	A519D1	12596.1	8172.4	150	4
0	0	12714.5	7918.7	150	1	0	0	0	0	0	0	0	0
0	0	12442.6	7791.9	150	1	0	0	0	0	0	0	0	0
0	0	12247.7	8209.8	150	1	0	0	0	0	0	0	0	0
0	0	12519.6	8336.6	150	1	0	0	0	0	0	0	0	0
0	0	12575	8217.7	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A518	1	12458.8	8467	150	1	0	0	0	A518D1	12437.7	8512.3	150	4
0	0	12519.6	8336.6	150	1	0	0	0	0	0	0	0	0
0	0	12247.7	8209.8	150	1	0	0	0	0	0	0	0	0
0	0	12136.9	8447.4	150	1	0	0	0	0	0	0	0	0
0	0	12408.8	8574.2	150	1	0	0	0	0	0	0	0	0
0	0	12416.5	8557.6	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A516	1	12395.4	8602.9	150	1	0	0	0	A516D1	12374.3	8648.2	150	4
0	0	12408.8	8574.2	150	1	0	0	0	0	0	0	0	0
0	0	12136.9	8447.4	150	1	0	0	0	0	0	0	0	0
0	0	11980	8783.9	150	1	0	0	0	0	0	0	0	0
0	0	12251.9	8910.7	150	1	0	0	0	0	0	0	0	0
0	0	12353.1	8693.6	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A514	1	12154.5	9119.5	150	1	0	0	0	A514D1	12133.4	9164.8	150	4
0	0	12251.9	8910.7	150	1	0	0	0	0	0	0	0	0
0	0	11980	8783.9	150	1	0	0	0	0	0	0	0	0
0	0	11827.3	9111.4	150	1	0	0	0	0	0	0	0	0
0	0	12099.2	9238.2	150	1	0	0	0	0	0	0	0	0
0	0	12112.2	9210.2	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A512	1	12088.1	9261.8	150	1	0	0	0	A512D1	12067	9307.1	150	4
0	0	12099.2	9238.2	150	1	0	0	0	0	0	0	0	0
0	0	11827.3	9111.4	150	1	0	0	0	0	0	0	0	0
0	0	11675.5	9437	150	1	0	0	0	0	0	0	0	0
0	0	11947.3	9563.8	150	1	0	0	0	0	0	0	0	0
0	0	12045.9	9352.4	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A510	1	11849.4	9773.9	150	1	0	0	0	A510D1	11828.2	9819.2	150	4
0	0	11947.3	9563.8	150	1	0	0	0	0	0	0	0	0
0	0	11675.5	9437	150	1	0	0	0	0	0	0	0	0
0	0	11528.1	9753.1	150	1	0	0	0	0	0	0	0	0
0	0	11800	9879.8	150	1	0	0	0	0	0	0	0	0
0	0	11807.1	9864.5	150	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A508	1	11782.6	9917.1	150	1	0	0	0	A508D1	11761.5	9962.4	150	4
